#,Tag,Event,Event Link,Pokémon,Sprite Override,★,Ball,Lv.,M/F,Ability,Nature,HP,Atk,Def,SpA,SpD,Spe,Move 1,Move 2,Move 3,Move 4,Item,OT,TID,Dates,Proof,Proof Name,Trade Link,Trade History,Additonal Notes,Location,Box Location,Cur Gen,Event Gen,Personal,Traded,Hide from PTrades,Limit Duplicates,Trade Info,Ribbon,Additional Links,Rule 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,a,a,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,
807,ENG,1 Million Victory Zeraora,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_VIII#1_Million_Victories_Shiny_Zeraora,Zeraora,,■,Cherish Ball,100,○,Volt Absorb,Hasty,31,31,30,31,31,31,Plasma Fists,Close Combat,Blaze Kick,Outrage,,HOME,200630,6/30/2020,V,Zeraora 01.mp4,,Self Redeemed,,Home,EventFT | 27 | 01,8,8,FALSE,FALSE,FALSE,FALSE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Docile,,,,,,,,,,,,ゲッチャレ,201120,17/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,FALSE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Rash,,,,,,,,,,,,ゲッチャレ,201120,17/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Jolly,,,,,,,,,,,,ゲッチャレ,201120,17/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Serious,,,,,,,,,,,,ゲッチャレ,201120,17/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Adamant,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Hardy,,,,,,,,,,,,ゲッチャレ,201120,23/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Timid,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Adamant,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
640,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Genesect,,,Cherish Ball,60,,Download,Docile,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Jolly,,,,,,,,,,,,ゲッチャレ,201120,17/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,FALSE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Brave,,,,,,,,,,,,ゲッチャレ,201120,18/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Docile,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Gentle,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Serious,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Bold,,,,,,,,,,,,ゲッチャレ,201120,23/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Lax,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Adamant,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
721,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Volcanion,,,Cherish Ball,60,,Water Absorb,Rash,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Technician,Bold,,,,,,,,,,,,ゲッチャレ,201120,17/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,FALSE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Technician,Hardy,,,,,,,,,,,,ゲッチャレ,201120,18/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Technician,Sassy,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Technician,Naughty,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by avs6134 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Download,Brave,,,,,,,,,,,,ゲッチャレ,201120,19/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Download,Mild,,,,,,,,,,,,ゲッチャレ,201120,23/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Download,Relaxed,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Download,Bashful,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
802,JPN,Pokemon Scrap 2020,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon,Marshadow,,,Cherish Ball,60,,Download,Bold,,,,,,,,,,,,ゲッチャレ,201120,27/12/2020,Video,,,Redeemed by eddiespaghetti1234 for me,,SWSH,,8,8,FALSE,FALSE,FALSE,TRUE,,,,
52,ENG,Gigantamax Meowth,,Meowth,,,Cherish Ball,5,♂,Pickup,Timid,Sam,,,,,,,,,,,Sam,773162,,WC,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Meowth | Sam | 773162 | Self redeemed
52,ENG,Gigantamax Meowth,,Meowth,,,Cherish Ball,5,♂,Pickup,Careful,Amias,,,,,,,,,,,Amias,84090,,WC,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Meowth | Amias | 084090 | Self redeemed
809,ENG,Pokémon GO Melmetal,,Melmetal,,,Cherish Ball,100,,Iron Fist,Brave,HOME,,,,,,,,,,,HOME,808809,Various,Video,,,Self redeemed,,HOME,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Melmetal | HOME | 808809 | Self redeemed
25,ENG,Pikachu In A Cap (Partner Cap),,Pikachu,,,Poké Ball,25,♂,Static,Hardy,Ash,,,,,,,,,,,Ash,201023,04/12/2020,Video,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Pikachu | Ash | 201023 | Self redeemed
25,ENG,Pikachu In A Cap (Original Cap),,Pikachu,,,Poké Ball,25,♂,Static,Hardy,Ash,,,,,,,,,,,Ash,201023,04/12/2020,Video,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Pikachu | Ash | 201023 | Self redeemed
25,ENG,Pikachu In A Cap (Hoenn Cap),,Pikachu,,,Poké Ball,25,♂,Static,Hardy,Ash,,,,,,,,,,,Ash,201023,04/12/2020,Video,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Pikachu | Ash | 201023 | Self redeemed
25,ENG,Pikachu In A Cap (Sinnoh Cap),,Pikachu,,,Poké Ball,25,♂,Static,Hardy,Ash,,,,,,,,,,,Ash,201023,04/12/2020,Video,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Pikachu | Ash | 201023 | Self redeemed
25,ENG,Pikachu In A Cap (Unova Cap),,Pikachu,,,Poké Ball,25,♂,Static,Hardy,Ash,,,,,,,,,,,Ash,201023,04/12/2020,Video,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Pikachu | Ash | 201023 | Self redeemed
25,ENG,Pikachu In A Cap (Kalos Cap),,Pikachu,,,Poké Ball,25,♂,Static,Hardy,Ash,,,,,,,,,,,Ash,201023,04/12/2020,Video,,,Self redeemed,,SW,,8,8,FALSE,FALSE,FALSE,FALSE,,,,Pikachu | Ash | 201023 | Self redeemed
